[SUMMARY][PORTFOLIOS]
                 portfolio weighting  trend_gate  component_count                                                                                                                                                                                                        components  folds  oos_sharpe_mean  last_fold_sharpe  last_2_fold_mean_sharpe  test_mean_ic  sign_stability  tail_positive_rate  max_drawdown  turnover_mean  positive_sharpe_fraction  avg_dynamic_gross_target
 pf__n1__equal__trendgate0     equal           0                1                                                                                                                                         gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi      8        -0.289875          2.029179                -0.263068      0.010921        0.479291            0.479638     -0.024934       0.107159                     0.375                     0.425
 pf__n1__equal__trendgate1     equal           1                1                                                                                                                                         gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi      8        -0.289875          2.029179                -0.263068      0.010921        0.479291            0.479638     -0.024934       0.107159                     0.375                     0.425
    pf__n1__ic__trendgate0        ic           0                1                                                                                                                                         gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi      8        -0.289875          2.029179                -0.263068      0.010921        0.479291            0.479638     -0.024934       0.107159                     0.375                     0.425
    pf__n1__ic__trendgate1        ic           1                1                                                                                                                                         gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi      8        -0.289875          2.029179                -0.263068      0.010921        0.479291            0.479638     -0.024934       0.107159                     0.375                     0.425
pf__n1__sharpe__trendgate0    sharpe           0                1                                                                                                                                         gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi      8        -0.289875          2.029179                -0.263068      0.010921        0.479291            0.479638     -0.024934       0.107159                     0.375                     0.425
pf__n1__sharpe__trendgate1    sharpe           1                1                                                                                                                                         gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi      8        -0.289875          2.029179                -0.263068      0.010921        0.479291            0.479638     -0.024934       0.107159                     0.375                     0.425
    pf__n2__ic__trendgate0        ic           0                2                                                                gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi      8        -0.291338          0.950689                -0.614369      0.011015        0.484499            0.464438     -0.025801       0.106967                     0.375                     0.425
    pf__n2__ic__trendgate1        ic           1                2                                                                gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi      8        -0.291338          0.950689                -0.614369      0.011015        0.484499            0.464438     -0.025801       0.106967                     0.375                     0.425
pf__n2__sharpe__trendgate0    sharpe           0                2                                                                gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi      8        -0.290018          0.947843                -0.615069      0.011037        0.484499            0.464438     -0.025808       0.106938                     0.375                     0.425
pf__n2__sharpe__trendgate1    sharpe           1                2                                                                gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi      8        -0.290018          0.947843                -0.615069      0.011037        0.484499            0.464438     -0.025808       0.106938                     0.375                     0.425
 pf__n2__equal__trendgate0     equal           0                2                                                                gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi      8        -0.291512          0.947843                -0.615069      0.011016        0.484499            0.464438     -0.025802       0.106966                     0.375                     0.425
 pf__n2__equal__trendgate1     equal           1                2                                                                gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi      8        -0.291512          0.947843                -0.615069      0.011016        0.484499            0.464438     -0.025802       0.106966                     0.375                     0.425
 pf__n3__equal__trendgate0     equal           0                3 gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi      8        -0.356542          0.307772                -0.820427      0.011272        0.484499            0.480902     -0.025782       0.106869                     0.375                     0.425
 pf__n3__equal__trendgate1     equal           1                3 gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi      8        -0.356542          0.307772                -0.820427      0.011272        0.484499            0.480902     -0.025782       0.106869                     0.375                     0.425
    pf__n3__ic__trendgate0        ic           0                3 gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi      8        -0.356854          0.306994                -0.821243      0.011272        0.484499            0.480902     -0.025781       0.106870                     0.375                     0.425
    pf__n3__ic__trendgate1        ic           1                3 gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi      8        -0.356854          0.306994                -0.821243      0.011272        0.484499            0.480902     -0.025781       0.106870                     0.375                     0.425
pf__n3__sharpe__trendgate0    sharpe           0                3 gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi      8        -0.429546         -0.537907                -1.089849      0.011392        0.479291            0.470545     -0.025808       0.106979                     0.375                     0.425
pf__n3__sharpe__trendgate1    sharpe           1                3 gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi      8        -0.429546         -0.537907                -1.089849      0.011392        0.479291            0.470545     -0.025808       0.106979                     0.375                     0.425





[ARTIFACT] artifacts\portfolio_opt_wf_dynamic_gross\portfolio_summary.csv


portfolio,weighting,trend_gate,component_count,components,folds,oos_sharpe_mean,last_fold_sharpe,last_2_fold_mean_sharpe,test_mean_ic,sign_stability,tail_positive_rate,max_drawdown,turnover_mean,positive_sharpe_fraction,avg_dynamic_gross_target
pf__n1__equal__trendgate0,equal,0,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,8,-0.2898753270799567,2.0291790160839973,-0.2630681012726779,0.01092065084518849,0.47929080963904014,0.4796380318612623,-0.024934055185709236,0.10715912984270934,0.375,0.42500000000000004
pf__n1__equal__trendgate1,equal,1,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,8,-0.2898753270799567,2.0291790160839973,-0.2630681012726779,0.01092065084518849,0.47929080963904014,0.4796380318612623,-0.024934055185709236,0.10715912984270934,0.375,0.42500000000000004
pf__n1__ic__trendgate0,ic,0,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,8,-0.2898753270799567,2.0291790160839973,-0.2630681012726779,0.01092065084518849,0.47929080963904014,0.4796380318612623,-0.024934055185709236,0.10715912984270934,0.375,0.42500000000000004
pf__n1__ic__trendgate1,ic,1,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,8,-0.2898753270799567,2.0291790160839973,-0.2630681012726779,0.01092065084518849,0.47929080963904014,0.4796380318612623,-0.024934055185709236,0.10715912984270934,0.375,0.42500000000000004
pf__n1__sharpe__trendgate0,sharpe,0,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,8,-0.2898753270799567,2.0291790160839973,-0.2630681012726779,0.01092065084518849,0.47929080963904014,0.4796380318612623,-0.024934055185709236,0.10715912984270934,0.375,0.42500000000000004
pf__n1__sharpe__trendgate1,sharpe,1,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,8,-0.2898753270799567,2.0291790160839973,-0.2630681012726779,0.01092065084518849,0.47929080963904014,0.4796380318612623,-0.024934055185709236,0.10715912984270934,0.375,0.42500000000000004
pf__n2__ic__trendgate0,ic,0,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,8,-0.29133759282352834,0.9506886059909886,-0.6143687536698128,0.01101473188889425,0.48449914297237345,0.4644383948376689,-0.025801329094219505,0.1069668532574263,0.375,0.42500000000000004
pf__n2__ic__trendgate1,ic,1,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,8,-0.29133759282352834,0.9506886059909886,-0.6143687536698128,0.01101473188889425,0.48449914297237345,0.4644383948376689,-0.025801329094219505,0.1069668532574263,0.375,0.42500000000000004
pf__n2__sharpe__trendgate0,sharpe,0,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,8,-0.2900175969408575,0.9478427675593171,-0.6150691059872935,0.011037076396865084,0.48449914297237345,0.4644383948376689,-0.025808236545080354,0.10693795674161619,0.375,0.42500000000000004
pf__n2__sharpe__trendgate1,sharpe,1,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,8,-0.2900175969408575,0.9478427675593171,-0.6150691059872935,0.011037076396865084,0.48449914297237345,0.4644383948376689,-0.025808236545080354,0.10693795674161619,0.375,0.42500000000000004
pf__n2__equal__trendgate0,equal,0,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,8,-0.29151209253300403,0.9478427675593171,-0.6150691059872935,0.011016314847987985,0.48449914297237345,0.4644383948376689,-0.025802261780791147,0.10696611350297575,0.375,0.42500000000000004
pf__n2__equal__trendgate1,equal,1,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,8,-0.29151209253300403,0.9478427675593171,-0.6150691059872935,0.011016314847987985,0.48449914297237345,0.4644383948376689,-0.025802261780791147,0.10696611350297575,0.375,0.42500000000000004
pf__n3__equal__trendgate0,equal,0,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,8,-0.35654156257352937,0.3077718591198987,-0.820426929288175,0.011272212188401123,0.48449914297237345,0.4809015174430329,-0.025781898760562583,0.10686947077282177,0.375,0.42500000000000004
pf__n3__equal__trendgate1,equal,1,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,8,-0.35654156257352937,0.3077718591198987,-0.820426929288175,0.011272212188401123,0.48449914297237345,0.4809015174430329,-0.025781898760562583,0.10686947077282177,0.375,0.42500000000000004
pf__n3__ic__trendgate0,ic,0,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,8,-0.3568540850532591,0.30699360895978256,-0.8212425048111012,0.011271863726924868,0.48449914297237345,0.4809015174430329,-0.02578099013517965,0.10687005977995967,0.375,0.42500000000000004
pf__n3__ic__trendgate1,ic,1,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,8,-0.3568540850532591,0.30699360895978256,-0.8212425048111012,0.011271863726924868,0.48449914297237345,0.4809015174430329,-0.02578099013517965,0.10687005977995967,0.375,0.42500000000000004
pf__n3__sharpe__trendgate0,sharpe,0,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,8,-0.4295455428669578,-0.5379072826463668,-1.089848851968948,0.011392496960042367,0.47929080963904014,0.47054471667674935,-0.02580823654508002,0.10697947497217983,0.375,0.42500000000000004
pf__n3__sharpe__trendgate1,sharpe,1,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,8,-0.4295455428669578,-0.5379072826463668,-1.089848851968948,0.011392496960042367,0.47929080963904014,0.47054471667674935,-0.02580823654508002,0.10697947497217983,0.375,0.42500000000000004




[ARTIFACT] artifacts\portfolio_opt_wf_dynamic_gross\portfolio_fold_metrics__all_folds.csv


fold_id,portfolio,weighting,trend_gate,component_count,components,weights,days,mean_daily,std_daily,sharpe,cum_ret,max_drawdown,avg_turnover,avg_names_active,avg_gross_exposure,avg_dynamic_gross_target,test_mean_ic,test_sign_stability,tail_mean_spread,tail_positive_rate
1,pf__n2__equal__trendgate0,equal,0,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.5, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.5}",63.0,0.00033551530118309245,0.0014962044437051383,3.559767722100322,0.021287101382407636,-0.0041876178498050365,0.09763314564636823,5.666666666666667,0.05318870120192379,0.42500000000000004,0.10134315753792926,0.6111111111111112,0.007645684420455999,0.7222222222222222
1,pf__n2__equal__trendgate1,equal,1,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.5, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.5}",63.0,0.00033551530118309245,0.0014962044437051383,3.559767722100322,0.021287101382407636,-0.0041876178498050365,0.09763314564636823,5.666666666666667,0.05318870120192379,0.42500000000000004,0.10134315753792926,0.6111111111111112,0.007645684420455999,0.7222222222222222
1,pf__n2__ic__trendgate0,ic,0,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.5069313516227903, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.49306864837720965}",63.0,0.0003355591222497562,0.001496418724472514,3.559722847032561,0.021289899411408353,-0.004190961733502863,0.09763671540827197,5.666666666666667,0.05319227096382753,0.42500000000000004,0.10125403254085136,0.6111111111111112,0.007891228349334098,0.7222222222222222
1,pf__n2__ic__trendgate1,ic,1,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.5069313516227903, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.49306864837720965}",63.0,0.0003355591222497562,0.001496418724472514,3.559722847032561,0.021289899411408353,-0.004190961733502863,0.09763671540827197,5.666666666666667,0.05319227096382753,0.42500000000000004,0.10125403254085136,0.6111111111111112,0.007891228349334098,0.7222222222222222
1,pf__n2__sharpe__trendgate0,sharpe,0,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.40875855304737896, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.591241446952621}",63.0,0.0003448707421563668,0.0015112451634646102,3.622610968742232,0.021887560665525996,-0.0038537515912693276,0.09754864889733038,5.666666666666667,0.053104204452885925,0.42500000000000004,0.10154551511326178,0.6111111111111112,0.008199242432324469,0.7222222222222222
1,pf__n2__sharpe__trendgate1,sharpe,1,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.40875855304737896, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.591241446952621}",63.0,0.0003448707421563668,0.0015112451634646102,3.622610968742232,0.021887560665525996,-0.0038537515912693276,0.09754864889733038,5.666666666666667,0.053104204452885925,0.42500000000000004,0.10154551511326178,0.6111111111111112,0.008199242432324469,0.7222222222222222
1,pf__n3__equal__trendgate0,equal,0,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,"{""gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi"": 0.3333333333333333, ""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.3333333333333333, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.3333333333333333}",63.0,0.0003496362257706302,0.00150747939895293,3.6818433582198367,0.022194662967604195,-0.004541290524350261,0.09655836290447643,5.650793650793651,0.05211391846003199,0.42500000000000004,0.10187352432381885,0.6111111111111112,0.008244071568704017,0.7777777777777778
1,pf__n3__equal__trendgate1,equal,1,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,"{""gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi"": 0.3333333333333333, ""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.3333333333333333, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.3333333333333333}",63.0,0.0003496362257706302,0.00150747939895293,3.6818433582198367,0.022194662967604195,-0.004541290524350261,0.09655836290447643,5.650793650793651,0.05211391846003199,0.42500000000000004,0.10187352432381885,0.6111111111111112,0.008244071568704017,0.7777777777777778
1,pf__n3__ic__trendgate0,ic,0,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,"{""gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi"": 0.33294222852535565, ""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.3381524977041279, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.3289052737705165}",63.0,0.00034955132462547464,0.0015074444557384812,3.681034632930388,0.022189200802971376,-0.004543718785373296,0.09655955091506593,5.650793650793651,0.052115106470621494,0.42500000000000004,0.10185526100474554,0.6111111111111112,0.008244071568704017,0.7777777777777778
1,pf__n3__ic__trendgate1,ic,1,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,"{""gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi"": 0.33294222852535565, ""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.3381524977041279, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.3289052737705165}",63.0,0.00034955132462547464,0.0015074444557384812,3.681034632930388,0.022189200802971376,-0.004543718785373296,0.09655955091506593,5.650793650793651,0.052115106470621494,0.42500000000000004,0.10185526100474554,0.6111111111111112,0.008244071568704017,0.7777777777777778
1,pf__n3__sharpe__trendgate0,sharpe,0,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,"{""gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi"": 2.471751470342482e-13, ""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.40875855304727793, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.5912414469524749}",63.0,0.0003448707421563713,0.0015112451634646344,3.622610968742221,0.021887560665526218,-0.0038537515912693276,0.09754864889733049,5.666666666666667,0.053104204452886036,0.42500000000000004,0.10154551511326178,0.6111111111111112,0.008199242432324469,0.7222222222222222
1,pf__n3__sharpe__trendgate1,sharpe,1,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,"{""gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi"": 2.471751470342482e-13, ""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.40875855304727793, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.5912414469524749}",63.0,0.0003448707421563713,0.0015112451634646344,3.622610968742221,0.021887560665526218,-0.0038537515912693276,0.09754864889733049,5.666666666666667,0.053104204452886036,0.42500000000000004,0.10154551511326178,0.6111111111111112,0.008199242432324469,0.7222222222222222
1,pf__n1__equal__trendgate0,equal,0,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 1.0}",63.0,0.00028204501854812053,0.0012587563046322142,3.5569441404854056,0.017874431145161518,-0.004270723846069413,0.09698729031257644,5.650793650793651,0.05254284586813199,0.42500000000000004,0.10147100077144258,0.6111111111111112,0.008087559766059503,0.7222222222222222
1,pf__n1__equal__trendgate1,equal,1,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 1.0}",63.0,0.00028204501854812053,0.0012587563046322142,3.5569441404854056,0.017874431145161518,-0.004270723846069413,0.09698729031257644,5.650793650793651,0.05254284586813199,0.42500000000000004,0.10147100077144258,0.6111111111111112,0.008087559766059503,0.7222222222222222
1,pf__n1__ic__trendgate0,ic,0,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 1.0}",63.0,0.00028204501854812053,0.0012587563046322142,3.5569441404854056,0.017874431145161518,-0.004270723846069413,0.09698729031257644,5.650793650793651,0.05254284586813199,0.42500000000000004,0.10147100077144258,0.6111111111111112,0.008087559766059503,0.7222222222222222
1,pf__n1__ic__trendgate1,ic,1,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 1.0}",63.0,0.00028204501854812053,0.0012587563046322142,3.5569441404854056,0.017874431145161518,-0.004270723846069413,0.09698729031257644,5.650793650793651,0.05254284586813199,0.42500000000000004,0.10147100077144258,0.6111111111111112,0.008087559766059503,0.7222222222222222
1,pf__n1__sharpe__trendgate0,sharpe,0,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 1.0}",63.0,0.00028204501854812053,0.0012587563046322142,3.5569441404854056,0.017874431145161518,-0.004270723846069413,0.09698729031257644,5.650793650793651,0.05254284586813199,0.42500000000000004,0.10147100077144258,0.6111111111111112,0.008087559766059503,0.7222222222222222
1,pf__n1__sharpe__trendgate1,sharpe,1,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 1.0}",63.0,0.00028204501854812053,0.0012587563046322142,3.5569441404854056,0.017874431145161518,-0.004270723846069413,0.09698729031257644,5.650793650793651,0.05254284586813199,0.42500000000000004,0.10147100077144258,0.6111111111111112,0.008087559766059503,0.7222222222222222
2,pf__n2__equal__trendgate0,equal,0,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.5, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.5}",63.0,-0.00012648522748530866,0.0011093957589941603,-1.8098958109484027,-0.00797590614834287,-0.01306263732740387,0.09610181010148577,6.476190476190476,0.053510757966519655,0.42500000000000004,-0.04236797811908269,0.35,-0.00027144625492550703,0.45
2,pf__n2__equal__trendgate1,equal,1,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.5, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.5}",63.0,-0.00012648522748530866,0.0011093957589941603,-1.8098958109484027,-0.00797590614834287,-0.01306263732740387,0.09610181010148577,6.476190476190476,0.053510757966519655,0.42500000000000004,-0.04236797811908269,0.35,-0.00027144625492550703,0.45
