[SUMMARY][PORTFOLIOS]
                 portfolio weighting  trend_gate  component_count                                                                                                                                                                                                        components  folds  oos_sharpe_mean  last_fold_sharpe  last_2_fold_mean_sharpe  test_mean_ic  sign_stability  tail_positive_rate  max_drawdown  turnover_mean  positive_sharpe_fraction
pf__n3__sharpe__trendgate0    sharpe           0                3 gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi      8        -0.582115         -0.899650                -0.763279      0.011392        0.479291            0.470545     -0.032685       0.107477                     0.250
pf__n3__sharpe__trendgate1    sharpe           1                3 gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi      8        -0.582115         -0.899650                -0.763279      0.011392        0.479291            0.470545     -0.032685       0.107477                     0.250
    pf__n2__ic__trendgate0        ic           0                2                                                                gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi      8        -0.647605          0.010356                -0.924166      0.011015        0.484499            0.464438     -0.032671       0.107543                     0.375
    pf__n2__ic__trendgate1        ic           1                2                                                                gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi      8        -0.647605          0.010356                -0.924166      0.011015        0.484499            0.464438     -0.032671       0.107543                     0.375
 pf__n2__equal__trendgate0     equal           0                2                                                                gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi      8        -0.647993          0.010800                -0.925469      0.011016        0.484499            0.464438     -0.032673       0.107460                     0.375
 pf__n2__equal__trendgate1     equal           1                2                                                                gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi      8        -0.647993          0.010800                -0.925469      0.011016        0.484499            0.464438     -0.032673       0.107460                     0.375
pf__n2__sharpe__trendgate0    sharpe           0                2                                                                gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi      8        -0.668064          0.010800                -0.925469      0.011037        0.484499            0.464438     -0.032685       0.107467                     0.375
pf__n2__sharpe__trendgate1    sharpe           1                2                                                                gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi      8        -0.668064          0.010800                -0.925469      0.011037        0.484499            0.464438     -0.032685       0.107467                     0.375
 pf__n1__equal__trendgate0     equal           0                1                                                                                                                                         gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi      8        -0.618950          0.467771                -1.061220      0.010921        0.479291            0.479638     -0.029070       0.107521                     0.500
 pf__n1__equal__trendgate1     equal           1                1                                                                                                                                         gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi      8        -0.618950          0.467771                -1.061220      0.010921        0.479291            0.479638     -0.029070       0.107521                     0.500
    pf__n1__ic__trendgate0        ic           0                1                                                                                                                                         gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi      8        -0.618950          0.467771                -1.061220      0.010921        0.479291            0.479638     -0.029070       0.107521                     0.500
    pf__n1__ic__trendgate1        ic           1                1                                                                                                                                         gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi      8        -0.618950          0.467771                -1.061220      0.010921        0.479291            0.479638     -0.029070       0.107521                     0.500
pf__n1__sharpe__trendgate0    sharpe           0                1                                                                                                                                         gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi      8        -0.618950          0.467771                -1.061220      0.010921        0.479291            0.479638     -0.029070       0.107521                     0.500
pf__n1__sharpe__trendgate1    sharpe           1                1                                                                                                                                         gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi      8        -0.618950          0.467771                -1.061220      0.010921        0.479291            0.479638     -0.029070       0.107521                     0.500
 pf__n3__equal__trendgate0     equal           0                3 gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi      8        -0.588952         -1.001982                -1.086822      0.011272        0.484499            0.480902     -0.031994       0.107846                     0.250
 pf__n3__equal__trendgate1     equal           1                3 gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi      8        -0.588952         -1.001982                -1.086822      0.011272        0.484499            0.480902     -0.031994       0.107846                     0.250
    pf__n3__ic__trendgate0        ic           0                3 gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi      8        -0.588944         -1.001726                -1.086942      0.011272        0.484499            0.480902     -0.031993       0.107845                     0.250
    pf__n3__ic__trendgate1        ic           1                3 gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi      8        -0.588944         -1.001726                -1.086942      0.011272        0.484499            0.480902     -0.031993       0.107845                     0.250




[ARTIFACT] artifacts\portfolio_opt_wf\portfolio_summary.csv


portfolio,weighting,trend_gate,component_count,components,folds,oos_sharpe_mean,last_fold_sharpe,last_2_fold_mean_sharpe,test_mean_ic,sign_stability,tail_positive_rate,max_drawdown,turnover_mean,positive_sharpe_fraction
pf__n3__sharpe__trendgate0,sharpe,0,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,8,-0.5821148192210264,-0.8996500370800131,-0.7632790358139856,0.011392496960042367,0.47929080963904014,0.47054471667674935,-0.03268544964596487,0.10747720043044251,0.25
pf__n3__sharpe__trendgate1,sharpe,1,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,8,-0.5821148192210264,-0.8996500370800131,-0.7632790358139856,0.011392496960042367,0.47929080963904014,0.47054471667674935,-0.03268544964596487,0.10747720043044251,0.25
pf__n2__ic__trendgate0,ic,0,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,8,-0.6476050181283297,0.01035597910575617,-0.924165629434755,0.01101473188889425,0.48449914297237345,0.4644383948376689,-0.032671425631995765,0.10754325800545753,0.375
pf__n2__ic__trendgate1,ic,1,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,8,-0.6476050181283297,0.01035597910575617,-0.924165629434755,0.01101473188889425,0.48449914297237345,0.4644383948376689,-0.032671425631995765,0.10754325800545753,0.375
pf__n2__equal__trendgate0,equal,0,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,8,-0.6479928148750869,0.01079960860200674,-0.9254692200510866,0.011016314847987985,0.48449914297237345,0.4644383948376689,-0.03267334814586831,0.1074604386388989,0.375
pf__n2__equal__trendgate1,equal,1,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,8,-0.6479928148750869,0.01079960860200674,-0.9254692200510866,0.011016314847987985,0.48449914297237345,0.4644383948376689,-0.03267334814586831,0.1074604386388989,0.375
pf__n2__sharpe__trendgate0,sharpe,0,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,8,-0.6680642999415785,0.01079960860200674,-0.9254692200510866,0.011037076396865084,0.48449914297237345,0.4644383948376689,-0.03268544964596509,0.10746671809648106,0.375
pf__n2__sharpe__trendgate1,sharpe,1,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,8,-0.6680642999415785,0.01079960860200674,-0.9254692200510866,0.011037076396865084,0.48449914297237345,0.4644383948376689,-0.03268544964596509,0.10746671809648106,0.375
pf__n1__equal__trendgate0,equal,0,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,8,-0.618950168862526,0.46777060738002113,-1.0612197834427473,0.01092065084518849,0.47929080963904014,0.4796380318612623,-0.0290695243617084,0.10752056907326529,0.5
pf__n1__equal__trendgate1,equal,1,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,8,-0.618950168862526,0.46777060738002113,-1.0612197834427473,0.01092065084518849,0.47929080963904014,0.4796380318612623,-0.0290695243617084,0.10752056907326529,0.5
pf__n1__ic__trendgate0,ic,0,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,8,-0.618950168862526,0.46777060738002113,-1.0612197834427473,0.01092065084518849,0.47929080963904014,0.4796380318612623,-0.0290695243617084,0.10752056907326529,0.5
pf__n1__ic__trendgate1,ic,1,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,8,-0.618950168862526,0.46777060738002113,-1.0612197834427473,0.01092065084518849,0.47929080963904014,0.4796380318612623,-0.0290695243617084,0.10752056907326529,0.5
pf__n1__sharpe__trendgate0,sharpe,0,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,8,-0.618950168862526,0.46777060738002113,-1.0612197834427473,0.01092065084518849,0.47929080963904014,0.4796380318612623,-0.0290695243617084,0.10752056907326529,0.5
pf__n1__sharpe__trendgate1,sharpe,1,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,8,-0.618950168862526,0.46777060738002113,-1.0612197834427473,0.01092065084518849,0.47929080963904014,0.4796380318612623,-0.0290695243617084,0.10752056907326529,0.5
pf__n3__equal__trendgate0,equal,0,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,8,-0.5889519489744928,-1.001981989747624,-1.0868224929344015,0.011272212188401123,0.48449914297237345,0.4809015174430329,-0.031993558576552505,0.10784579028804497,0.25
pf__n3__equal__trendgate1,equal,1,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,8,-0.5889519489744928,-1.001981989747624,-1.0868224929344015,0.011272212188401123,0.48449914297237345,0.4809015174430329,-0.031993558576552505,0.10784579028804497,0.25
pf__n3__ic__trendgate0,ic,0,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,8,-0.5889440761204208,-1.0017262202004809,-1.0869421411512867,0.011271863726924868,0.48449914297237345,0.4809015174430329,-0.03199287133957618,0.1078453881093123,0.25
pf__n3__ic__trendgate1,ic,1,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,8,-0.5889440761204208,-1.0017262202004809,-1.0869421411512867,0.011271863726924868,0.48449914297237345,0.4809015174430329,-0.03199287133957618,0.1078453881093123,0.25





[ARTIFACT] artifacts\portfolio_opt_wf\portfolio_fold_metrics__all_folds.csv



fold_id,portfolio,weighting,trend_gate,component_count,components,weights,days,mean_daily,std_daily,sharpe,cum_ret,max_drawdown,avg_turnover,avg_names_active,avg_gross_exposure,test_mean_ic,test_sign_stability,tail_mean_spread,tail_positive_rate
1,pf__n2__equal__trendgate0,equal,0,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.5, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.5}",63.0,0.00042135054136151304,0.0017605463411130195,3.7992368183402245,0.02679499498197302,-0.004865537248069707,0.09694370784285922,5.666666666666667,0.05249926339841476,0.10134315753792926,0.6111111111111112,0.007645684420455999,0.7222222222222222
1,pf__n2__equal__trendgate1,equal,1,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.5, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.5}",63.0,0.00042135054136151304,0.0017605463411130195,3.7992368183402245,0.02679499498197302,-0.004865537248069707,0.09694370784285922,5.666666666666667,0.05249926339841476,0.10134315753792926,0.6111111111111112,0.007645684420455999,0.7222222222222222
1,pf__n2__ic__trendgate0,ic,0,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.5069313516227903, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.49306864837720965}",63.0,0.00042134790109733296,0.0017604953219010617,3.79932311290292,0.026794830041938278,-0.004861835067654363,0.09694299808061861,5.666666666666667,0.05249855363617417,0.10125403254085136,0.6111111111111112,0.007891228349334098,0.7222222222222222
1,pf__n2__ic__trendgate1,ic,1,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.5069313516227903, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.49306864837720965}",63.0,0.00042134790109733296,0.0017604953219010617,3.79932311290292,0.026794830041938278,-0.004861835067654363,0.09694299808061861,5.666666666666667,0.05249855363617417,0.10125403254085136,0.6111111111111112,0.007891228349334098,0.7222222222222222
1,pf__n2__sharpe__trendgate0,sharpe,0,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.40875855304737896, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.591241446952621}",63.0,0.00030968018776863826,0.0013503416635176472,3.6405753491681394,0.019639937466092272,-0.004911107579156915,0.09698679511210315,5.666666666666667,0.05254235066765869,0.10154551511326178,0.6111111111111112,0.008199242432324469,0.7222222222222222
1,pf__n2__sharpe__trendgate1,sharpe,1,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.40875855304737896, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.591241446952621}",63.0,0.00030968018776863826,0.0013503416635176472,3.6405753491681394,0.019639937466092272,-0.004911107579156915,0.09698679511210315,5.666666666666667,0.05254235066765869,0.10154551511326178,0.6111111111111112,0.008199242432324469,0.7222222222222222
1,pf__n3__equal__trendgate0,equal,0,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,"{""gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi"": 0.3333333333333333, ""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.3333333333333333, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.3333333333333333}",63.0,0.0004239635546423773,0.001753418062540206,3.8383389125372265,0.026964778503143494,-0.004556384989117035,0.09701498287865841,5.650793650793651,0.05257053843421397,0.10187352432381885,0.6111111111111112,0.008244071568704017,0.7777777777777778
1,pf__n3__equal__trendgate1,equal,1,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,"{""gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi"": 0.3333333333333333, ""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.3333333333333333, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.3333333333333333}",63.0,0.0004239635546423773,0.001753418062540206,3.8383389125372265,0.026964778503143494,-0.004556384989117035,0.09701498287865841,5.650793650793651,0.05257053843421397,0.10187352432381885,0.6111111111111112,0.008244071568704017,0.7777777777777778
1,pf__n3__ic__trendgate0,ic,0,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,"{""gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi"": 0.33294222852535565, ""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.3381524977041279, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.3289052737705165}",63.0,0.0004239602921011979,0.0017533796250138382,3.8383935185199367,0.026964571850252028,-0.004553843492762555,0.09701426029511272,5.650793650793651,0.05256981585066826,0.10185526100474554,0.6111111111111112,0.008244071568704017,0.7777777777777778
1,pf__n3__ic__trendgate1,ic,1,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,"{""gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi"": 0.33294222852535565, ""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.3381524977041279, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.3289052737705165}",63.0,0.0004239602921011979,0.0017533796250138382,3.8383935185199367,0.026964571850252028,-0.004553843492762555,0.09701426029511272,5.650793650793651,0.05256981585066826,0.10185526100474554,0.6111111111111112,0.008244071568704017,0.7777777777777778
1,pf__n3__sharpe__trendgate0,sharpe,0,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,"{""gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi"": 2.471751470342482e-13, ""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.40875855304727793, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.5912414469524749}",63.0,0.00030968018776863994,0.0013503416635176472,3.640575349168159,0.019639937466092272,-0.004911107579156915,0.09698679511210315,5.666666666666667,0.05254235066765869,0.10154551511326178,0.6111111111111112,0.008199242432324469,0.7222222222222222
1,pf__n3__sharpe__trendgate1,sharpe,1,3,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi|gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi,"{""gate::alpha_fs2_gap_fill_fraction_proxy__lag1::regime_trend_hi"": 2.471751470342482e-13, ""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.40875855304727793, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.5912414469524749}",63.0,0.00030968018776863994,0.0013503416635176472,3.640575349168159,0.019639937466092272,-0.004911107579156915,0.09698679511210315,5.666666666666667,0.05254235066765869,0.10154551511326178,0.6111111111111112,0.008199242432324469,0.7222222222222222
1,pf__n1__equal__trendgate0,equal,0,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 1.0}",63.0,0.0002347800261132588,0.001168632367147943,3.1892128551190173,0.014855739681800761,-0.005711045896643285,0.09858016822879831,5.650793650793651,0.05538394370539296,0.10147100077144258,0.6111111111111112,0.008087559766059503,0.7222222222222222
1,pf__n1__equal__trendgate1,equal,1,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 1.0}",63.0,0.0002347800261132588,0.001168632367147943,3.1892128551190173,0.014855739681800761,-0.005711045896643285,0.09858016822879831,5.650793650793651,0.05538394370539296,0.10147100077144258,0.6111111111111112,0.008087559766059503,0.7222222222222222
1,pf__n1__ic__trendgate0,ic,0,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 1.0}",63.0,0.0002347800261132588,0.001168632367147943,3.1892128551190173,0.014855739681800761,-0.005711045896643285,0.09858016822879831,5.650793650793651,0.05538394370539296,0.10147100077144258,0.6111111111111112,0.008087559766059503,0.7222222222222222
1,pf__n1__ic__trendgate1,ic,1,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 1.0}",63.0,0.0002347800261132588,0.001168632367147943,3.1892128551190173,0.014855739681800761,-0.005711045896643285,0.09858016822879831,5.650793650793651,0.05538394370539296,0.10147100077144258,0.6111111111111112,0.008087559766059503,0.7222222222222222
1,pf__n1__sharpe__trendgate0,sharpe,0,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 1.0}",63.0,0.0002347800261132588,0.001168632367147943,3.1892128551190173,0.014855739681800761,-0.005711045896643285,0.09858016822879831,5.650793650793651,0.05538394370539296,0.10147100077144258,0.6111111111111112,0.008087559766059503,0.7222222222222222
1,pf__n1__sharpe__trendgate1,sharpe,1,1,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 1.0}",63.0,0.0002347800261132588,0.001168632367147943,3.1892128551190173,0.014855739681800761,-0.005711045896643285,0.09858016822879831,5.650793650793651,0.05538394370539296,0.10147100077144258,0.6111111111111112,0.008087559766059503,0.7222222222222222
2,pf__n2__equal__trendgate0,equal,0,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.5, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.5}",63.0,-0.00017398198059886646,0.0011950757912786917,-2.311048669440641,-0.010946477463524507,-0.016201604461691055,0.09459314788085528,6.476190476190476,0.051448982249850776,-0.04236797811908269,0.35,-0.00027144625492550703,0.45
2,pf__n2__equal__trendgate1,equal,1,2,gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi|gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi,"{""gate::alpha_fs2_intraday_strength_liq_interaction__lag1::regime_trend_hi"": 0.5, ""gate::alpha_fs2_intraday_strength_rvol_interaction__lag1::regime_trend_hi"": 0.5}",63.0,-0.00017398198059886646,0.0011950757912786917,-2.311048669440641,-0.010946477463524507,-0.016201604461691055,0.09459314788085528,6.476190476190476,0.051448982249850776,-0.04236797811908269,0.35,-0.00027144625492550703,0.45
